,dim1,dim2,city,country,region,"GHGe intensity 2004","GHGe intensity 2009","CDD 23C","HDD 15.5C","commerce index","diesel price","gas price","GDP/capita","household size",population,"population density","urban ratio",water_bounded
223,-3.5372304975,-8.6162198949,Zhengzhou,China,ASIA,899,812,370,1753,46.1127777778,1.01,0.99,8438.52,3.6,6916,1100,42.5,0
224,-5.1160811987,4.2284043988,Stadt Zürich,Switzerland,OECD90,7.05,6.56,45,2519,56.86,1.52,1.3,38195.46,2.16,377,4289.94,73.5,1
225,8.8032673275,3.787765124,Atlanta,USA,OECD90,643,,456,1316,52.86,0.78,0.56,31036.95,2.68,2897178,636,80.7,0
226,2.6324741715,-6.7777071951,Bangkok,Thailand,ASIA,605,,2064,0,48.23,0.64,0.87,6316.49,3.64,6685000,13869,32.2,1
227,-5.0994881607,4.2061771781,Berne,Switzerland,OECD90,7.05,,62,2667,55.3111428571,1.52,1.3,43468.52,2.33,295837,4385,73.5,0
228,2.8069739495,-11.057488263,Bogotá,Colombia,LAC,113,,0,979,38.27,0.73,1.04,2958.84,3.334,5569633,11603,73.6,0
229,-14.3067811959,12.0780832038,Bologna,Italy,OECD90,575,,325,1631,55.3111428571,1.63,1.57,27573.8,1.95,448744,6699,67.6,0
230,-1.1827459082,-0.6634357882,Brasília,Brasil,LAC,66.8,,43,3,40.0525,1.45,1.68,7910.24,3.54,1821946,7138,82.8,0
231,8.6472193916,5.2535236264,Brisbane,Australia,OECD90,957,,361,176,55.3111428571,0.94,0.74,15036.29,2.7,1488883,959,88.2,1
232,3.4848192284,-5.4058377526,Cairo,Egypt,MAF,520,,1045,139,35.29,0.2,0.49,2140.14,3.9384210526,13144000,27216,43,0
233,9.7357855675,0.7132688924,Calgary,Canada,OECD90,224,,30,4285,55.3111428571,0.9,0.76,23982.62,2.6,767059,2084,80.1,0
234,2.3121590761,-6.9389018504,Chennai,India,ASIA,928,,1963,0,46.1127777778,0.7,1.09,395.64,4.23,6083371,13321,29.2,1
235,8.3079529893,2.1054080051,Chicago,USA,OECD90,643,,220,2733,65.24,0.78,0.56,32109.75,2.68,7523328,1681,80.7,1
236,-5.4091160787,-3.2910227501,Cracow,Poland,REF,1070,,68,2891,42.7875,1.4,1.43,3028.87,2.4481818182,744987,5881,61.5,0
237,-1.1613035067,-0.5604778731,Curitiba,Brasil,LAC,66.8,,146,407,40.0525,1.45,1.68,6514.69,3.15,2431804,3030,82.8,0
238,1.322539914,-10.1400445929,Dakar,Senegal,MAF,878,,925,0,35.29,1.26,1.35,1115.67,3.9384210526,1939000,10481,41.1,1
239,-15.1138043226,8.8222934789,Dusseldorf,Germany,OECD90,596,,47,2071,50.42,1.56,1.56,43744.89,1.8,571064,4923,73.4,0
240,-15.9385392606,5.3585023665,Frankfurt,Germany,OECD90,596,,72,2178,62.34,1.56,1.56,54570.75,1.8,653241,4764,73.4,0
241,9.579653717,1.8254314879,Graz,Austria,OECD90,258,,116,2432,55.3111428571,0.94,0.74,31611.89,2.3187931035,240066,3729,66.5,0
242,1.9587284185,-9.2476557194,Guangzhou,China,ASIA,899,,1071,259,46.1127777778,1.01,0.99,2796.01,3.65,3853800,11904,42.5,1
243,0.2471403027,-11.8705752009,Harare,Zimbabwe,MAF,527,,291,255,35.29,1.05,1.3,784.8,3.9384210526,1432260,3406,35.9,0
